instance,status,solver_time,lb_time,lb,ub
./KPCG_instances/C3/BPPC_3_0_1.txt_0.9,feasible,30.0085,21.5441,370,535
./KPCG_instances/C3/BPPC_8_0_10.txt_0.9,feasible,30.0105,19.1618,1828,3099
./KPCG_instances/C3/BPPC_3_0_10.txt_0.9,feasible,30.01,20.0903,353,533
./KPCG_instances/C3/BPPC_6_0_1.txt_0.9,optimal,0.121872,0.0413029,1488,1488
./KPCG_instances/C3/BPPC_7_0_1.txt_0.9,optimal,3.76031,3.74645,1907,1907
./KPCG_instances/C3/BPPC_5_0_10.txt_0.9,optimal,0.0069201,0.0018099,1189,1189
./KPCG_instances/C3/BPPC_1_0_1.txt_0.9,optimal,0.115738,0.0229223,325,325
./KPCG_instances/C3/BPPC_5_0_1.txt_0.9,optimal,0.00624103,0.0044717,1267,1267
./KPCG_instances/C3/BPPC_8_0_1.txt_0.9,feasible,30.0103,21.6446,1824,3102
./KPCG_instances/C3/BPPC_1_0_10.txt_0.9,optimal,0.121368,0.103419,370,370
./KPCG_instances/C3/BPPC_6_0_10.txt_0.9,optimal,0.123751,0.0612465,1600,1600
./KPCG_instances/C3/BPPC_4_0_1.txt_0.9,feasible,30.0098,9.54627,375,591
./KPCG_instances/C3/BPPC_2_0_10.txt_0.9,optimal,4.11186,4.10257,422,422
./KPCG_instances/C3/BPPC_2_0_1.txt_0.9,optimal,3.99513,3.96325,410,410
./KPCG_instances/C3/BPPC_7_0_10.txt_0.9,optimal,4.05622,3.86576,1783,1783
./KPCG_instances/C3/BPPC_4_0_10.txt_0.9,feasible,30.0082,17.6792,338,598
./KPCG_instances/C1/BPPC_3_0_1.txt_0.9,optimal,9.705,0.10736,190,190
./KPCG_instances/C1/BPPC_8_0_10.txt_0.9,feasible,30.0084,0.88577,1030,1035
./KPCG_instances/C1/BPPC_3_0_10.txt_0.9,optimal,6.51491,0.772506,190,190
./KPCG_instances/C1/BPPC_6_0_1.txt_0.9,optimal,0.0755777,0.0755528,1030,1030
./KPCG_instances/C1/BPPC_7_0_1.txt_0.9,optimal,2.29649,0.495142,1030,1030
./KPCG_instances/C1/BPPC_5_0_10.txt_0.9,optimal,0.00648485,0.000108598,1006,1006
./KPCG_instances/C1/BPPC_1_0_1.txt_0.9,optimal,0.0424265,0.0404341,180,180
./KPCG_instances/C1/BPPC_5_0_1.txt_0.9,optimal,0.00587522,0.00335429,1003,1003
./KPCG_instances/C1/BPPC_8_0_1.txt_0.9,feasible,30.0103,15.2357,1030,1035
./KPCG_instances/C1/BPPC_1_0_10.txt_0.9,optimal,0.0554883,0.014043,180,180
./KPCG_instances/C1/BPPC_6_0_10.txt_0.9,optimal,0.0932127,0.0351106,1028,1028
./KPCG_instances/C1/BPPC_4_0_1.txt_0.9,feasible,30.0111,0.504049,190,201
./KPCG_instances/C1/BPPC_2_0_10.txt_0.9,optimal,1.06901,0.0306704,182,182
./KPCG_instances/C1/BPPC_2_0_1.txt_0.9,optimal,0.24638,0.0261445,190,190
./KPCG_instances/C1/BPPC_7_0_10.txt_0.9,optimal,2.36794,0.648921,1030,1030
./KPCG_instances/C1/BPPC_4_0_10.txt_0.9,feasible,30.011,0.00232739,190,203
./KPCG_instances/R3/BPPC_3_0_1.txt_0.9,feasible,30.01,3.82871,421,468
./KPCG_instances/R3/BPPC_8_0_10.txt_0.9,feasible,30.0108,0.346035,383,502
./KPCG_instances/R3/BPPC_3_0_10.txt_0.9,feasible,30.0109,3.19619,373,452
./KPCG_instances/R3/BPPC_6_0_1.txt_0.9,optimal,0.082705,0.00269898,344,344
./KPCG_instances/R3/BPPC_7_0_1.txt_0.9,optimal,2.86925,0.000291374,314,314
./KPCG_instances/R3/BPPC_5_0_10.txt_0.9,optimal,0.00465978,0.00012848,244,244
./KPCG_instances/R3/BPPC_1_0_1.txt_0.9,optimal,0.0949673,0.0128437,273,273
./KPCG_instances/R3/BPPC_5_0_1.txt_0.9,optimal,0.0054482,7.8197e-05,211,211
./KPCG_instances/R3/BPPC_8_0_1.txt_0.9,feasible,30.0107,0.505072,419,544
./KPCG_instances/R3/BPPC_1_0_10.txt_0.9,optimal,0.0732162,0.000709686,265,265
