instance,status,solver_time,lb_time,lb,ub
BPPC_3_0_1.txt_0.9,feasible,0.00170599,0.00130662,405,4294967295
BPPC_8_0_10.txt_0.9,feasible,0.00133058,0.000940444,1258,4294967295
BPPC_3_0_10.txt_0.9,feasible,0.00135125,0.000937815,326,4294967295
BPPC_6_0_1.txt_0.9,feasible,0.000132942,9.426e-05,1445,4294967295
BPPC_7_0_1.txt_0.9,feasible,0.000321322,0.000212093,998,4294967295
BPPC_5_0_10.txt_0.9,feasible,4.5434e-05,3.5281e-05,1155,4294967295
BPPC_1_0_1.txt_0.9,feasible,0.00015426,0.000112797,300,4294967295
BPPC_5_0_1.txt_0.9,feasible,4.7273e-05,3.5475e-05,1267,4294967295
BPPC_8_0_1.txt_0.9,feasible,0.0017542,0.00136391,1837,4294967295
BPPC_1_0_10.txt_0.9,feasible,0.00013067,9.5763e-05,286,4294967295
BPPC_6_0_10.txt_0.9,feasible,8.8643e-05,5.4993e-05,938,4294967295
BPPC_4_0_1.txt_0.9,feasible,0.00476716,0.00329229,326,4294967295
BPPC_2_0_10.txt_0.9,feasible,0.000435089,0.000311664,318,4294967295
BPPC_2_0_1.txt_0.9,feasible,0.000406564,0.000290326,298,4294967295
BPPC_7_0_10.txt_0.9,feasible,0.000407503,0.000281515,1416,4294967295
BPPC_4_0_10.txt_0.9,feasible,0.0047977,0.00329948,327,4294967295
BPPC_3_0_1.txt_0.9,feasible,0.000770087,0.000528757,167,4294967295
BPPC_8_0_10.txt_0.9,feasible,0.000828593,0.000589045,992,4294967295
BPPC_3_0_10.txt_0.9,feasible,0.000725605,0.000520941,169,4294967295
BPPC_6_0_1.txt_0.9,feasible,8.6958e-05,6.198e-05,991,4294967295
BPPC_7_0_1.txt_0.9,feasible,0.000279129,0.000200794,998,4294967295
BPPC_5_0_10.txt_0.9,feasible,3.4337e-05,2.4441e-05,879,4294967295
BPPC_1_0_1.txt_0.9,feasible,7.4634e-05,5.3074e-05,168,4294967295
BPPC_5_0_1.txt_0.9,feasible,3.0977e-05,2.2142e-05,989,4294967295
BPPC_8_0_1.txt_0.9,feasible,0.000811955,0.000569318,1014,4294967295
BPPC_1_0_10.txt_0.9,feasible,7.5245e-05,5.2979e-05,161,4294967295
BPPC_6_0_10.txt_0.9,feasible,8.2716e-05,5.7317e-05,938,4294967295
BPPC_4_0_1.txt_0.9,feasible,0.00249295,0.00178391,169,4294967295
BPPC_2_0_10.txt_0.9,feasible,0.000243392,0.000178646,164,4294967295
BPPC_2_0_1.txt_0.9,feasible,0.000255834,0.000186239,170,4294967295
BPPC_7_0_10.txt_0.9,feasible,0.000274679,0.000199693,992,4294967295
BPPC_4_0_10.txt_0.9,feasible,0.00256351,0.00183211,168,4294967295
BPPC_3_0_1.txt_0.9,feasible,0.00148612,0.00102573,293,4294967295
BPPC_8_0_10.txt_0.9,feasible,0.00193383,0.0014867,305,4294967295
BPPC_3_0_10.txt_0.9,feasible,0.00152899,0.00106093,261,4294967295
BPPC_6_0_1.txt_0.9,feasible,0.00011722,6.377e-05,187,4294967295
BPPC_7_0_1.txt_0.9,feasible,0.000491425,0.000332467,278,4294967295
BPPC_5_0_10.txt_0.9,feasible,4.1096e-05,2.41e-05,192,4294967295
BPPC_1_0_1.txt_0.9,feasible,0.000152143,0.000105269,267,4294967295
BPPC_5_0_1.txt_0.9,feasible,4.0552e-05,2.3946e-05,185,4294967295
BPPC_8_0_1.txt_0.9,feasible,0.00207231,0.00160398,290,4294967295
BPPC_1_0_10.txt_0.9,feasible,0.000153652,0.000108664,221,4294967295
BPPC_6_0_10.txt_0.9,feasible,0.000114967,6.4913e-05,196,4294967295
BPPC_4_0_1.txt_0.9,feasible,0.00685302,0.00507374,373,4294967295
BPPC_2_0_10.txt_0.9,feasible,0.000515013,0.000377043,250,4294967295
BPPC_2_0_1.txt_0.9,feasible,0.000447943,0.000318222,252,4294967295
BPPC_7_0_10.txt_0.9,feasible,0.000489392,0.000334287,247,4294967295
BPPC_4_0_10.txt_0.9,feasible,0.00495149,0.00346208,287,4294967295
BPPC_3_0_1.txt_0.9,feasible,0.00165491,0.00125271,405,4294967295
BPPC_8_0_10.txt_0.9,feasible,0.00130488,0.000925628,1258,4294967295
BPPC_3_0_10.txt_0.9,feasible,0.00137198,0.000971851,326,4294967295
BPPC_6_0_1.txt_0.9,feasible,0.000133602,9.5583e-05,1445,4294967295
BPPC_7_0_1.txt_0.9,feasible,0.000298323,0.000193832,998,4294967295
BPPC_5_0_10.txt_0.9,feasible,4.5157e-05,3.4995e-05,1155,4294967295
BPPC_1_0_1.txt_0.9,feasible,0.000154985,0.000117614,300,4294967295
BPPC_5_0_1.txt_0.9,feasible,4.8317e-05,3.6072e-05,1267,4294967295
BPPC_8_0_1.txt_0.9,feasible,0.00175618,0.001361,1837,4294967295
BPPC_1_0_10.txt_0.9,feasible,0.00014171,0.000103204,286,4294967295
BPPC_6_0_10.txt_0.9,feasible,9.8216e-05,6.1692e-05,938,4294967295
BPPC_4_0_1.txt_0.9,feasible,0.00465146,0.00312306,326,4294967295
BPPC_2_0_10.txt_0.9,feasible,0.00043008,0.000312377,318,4294967295
BPPC_2_0_1.txt_0.9,feasible,0.00041915,0.000307377,298,4294967295
BPPC_7_0_10.txt_0.9,feasible,0.000392409,0.000279926,1416,4294967295
BPPC_4_0_10.txt_0.9,feasible,0.0046938,0.00322191,327,4294967295
BPPC_3_0_1.txt_0.9,feasible,0.001489,0.00103056,293,4294967295
BPPC_8_0_10.txt_0.9,feasible,0.00183677,0.00140556,305,4294967295
BPPC_3_0_10.txt_0.9,feasible,0.0014901,0.00102225,261,4294967295
BPPC_6_0_1.txt_0.9,feasible,0.000103551,5.8359e-05,187,4294967295
BPPC_7_0_1.txt_0.9,feasible,0.000529631,0.000376145,278,4294967295
BPPC_5_0_10.txt_0.9,feasible,4.1054e-05,2.452e-05,192,4294967295
BPPC_1_0_1.txt_0.9,feasible,0.000150906,0.000104677,267,4294967295
BPPC_5_0_1.txt_0.9,feasible,4.0633e-05,2.3822e-05,185,4294967295
BPPC_8_0_1.txt_0.9,feasible,0.00200678,0.00153625,290,4294967295
BPPC_1_0_10.txt_0.9,feasible,0.000147997,0.000104597,221,4294967295
BPPC_6_0_10.txt_0.9,feasible,0.000118767,6.6386e-05,196,4294967295
BPPC_4_0_1.txt_0.9,feasible,0.00690906,0.005125,373,4294967295
BPPC_2_0_10.txt_0.9,feasible,0.000496098,0.000349546,250,4294967295
BPPC_2_0_1.txt_0.9,feasible,0.00051917,0.000372416,252,4294967295
BPPC_7_0_10.txt_0.9,feasible,0.000480591,0.000324681,247,4294967295
BPPC_4_0_10.txt_0.9,feasible,0.00538193,0.00379502,287,4294967295
BPPC_3_0_1.txt_0.9,feasible,0.00106991,0.000884825,254,4294967295
BPPC_8_0_10.txt_0.9,feasible,0.00128522,0.00103045,243,4294967295
BPPC_3_0_10.txt_0.9,feasible,0.000790824,0.000559138,197,4294967295
BPPC_6_0_1.txt_0.9,feasible,0.00012391,6.7535e-05,187,4294967295
BPPC_7_0_1.txt_0.9,feasible,0.000442003,0.000339843,278,4294967295
BPPC_5_0_10.txt_0.9,feasible,4.2733e-05,2.5752e-05,192,4294967295
BPPC_1_0_1.txt_0.9,feasible,0.000122302,7.9094e-05,196,4294967295
BPPC_5_0_1.txt_0.9,feasible,4.3979e-05,2.6065e-05,185,4294967295
BPPC_8_0_1.txt_0.9,feasible,0.00131622,0.00102065,284,4294967295
BPPC_1_0_10.txt_0.9,feasible,9.5055e-05,5.7943e-05,155,4294967295
BPPC_6_0_10.txt_0.9,feasible,0.000107481,6.1923e-05,196,4294967295
BPPC_4_0_1.txt_0.9,feasible,0.00514021,0.00349927,292,4294967295
BPPC_2_0_10.txt_0.9,feasible,0.000453627,0.000362455,250,4294967295
BPPC_2_0_1.txt_0.9,feasible,0.000306243,0.000208177,192,4294967295
BPPC_7_0_10.txt_0.9,feasible,0.000297325,0.000197081,196,4294967295
BPPC_4_0_10.txt_0.9,feasible,0.00488418,0.00391594,287,4294967295
BPPC_5_0_1.txt_0.1,feasible,4.8117e-05,4.1149e-05,2885,4294967295
BPPC_3_0_1.txt_0.1,feasible,0.00107447,0.000855516,500,4294967295
BPPC_1_0_10.txt_0.1,feasible,0.00011123,9.5427e-05,500,4294967295
BPPC_8_0_1.txt_0.1,feasible,0.00167185,0.00137419,3041,4294967295
BPPC_3_0_10.txt_0.1,feasible,0.00134941,0.0010833,500,4294967295
BPPC_2_0_10.txt_0.1,feasible,0.00038313,0.000324183,500,4294967295
BPPC_4_0_1.txt_0.1,feasible,0.00327462,0.00256419,500,4294967295
BPPC_8_0_10.txt_0.1,feasible,0.00155885,0.00127078,3040,4294967295
BPPC_6_0_1.txt_0.1,feasible,0.000217496,0.000186908,2992,4294967295
BPPC_7_0_1.txt_0.1,feasible,0.000495421,0.00043047,3039,4294967295
BPPC_7_0_10.txt_0.1,feasible,0.000503945,0.000442208,2973,4294967295
BPPC_2_0_1.txt_0.1,feasible,0.000374092,0.000311439,500,4294967295
BPPC_4_0_10.txt_0.1,feasible,0.00320544,0.0025125,500,4294967295
BPPC_6_0_10.txt_0.1,feasible,0.00013811,0.000118647,3013,4294967295
BPPC_1_0_1.txt_0.1,feasible,0.000105985,9.0794e-05,500,4294967295
BPPC_5_0_10.txt_0.1,feasible,5.6627e-05,4.9647e-05,3066,4294967295
BPPC_5_0_1.txt_0.1,feasible,1.9407e-05,1.3312e-05,989,4294967295
BPPC_3_0_1.txt_0.1,feasible,0.000258984,0.000168871,170,4294967295
BPPC_1_0_10.txt_0.1,feasible,4.2229e-05,2.9827e-05,170,4294967295
BPPC_8_0_1.txt_0.1,feasible,0.000349162,0.000216911,1016,4294967295
BPPC_3_0_10.txt_0.1,feasible,0.000244001,0.000156824,170,4294967295
BPPC_2_0_10.txt_0.1,feasible,0.000115442,7.7919e-05,170,4294967295
BPPC_4_0_1.txt_0.1,feasible,0.000717482,0.000462378,170,4294967295
BPPC_8_0_10.txt_0.1,feasible,0.000319488,0.000194179,1017,4294967295
BPPC_6_0_1.txt_0.1,feasible,5.0998e-05,3.4891e-05,1014,4294967295
BPPC_7_0_1.txt_0.1,feasible,0.00014219,9.2401e-05,1015,4294967295
BPPC_7_0_10.txt_0.1,feasible,0.000141944,9.2585e-05,1005,4294967295
BPPC_2_0_1.txt_0.1,feasible,0.000116881,8.0834e-05,170,4294967295
BPPC_4_0_10.txt_0.1,feasible,0.000699307,0.000461161,170,4294967295
BPPC_6_0_10.txt_0.1,feasible,4.8294e-05,3.3165e-05,1017,4294967295
BPPC_1_0_1.txt_0.1,feasible,3.7601e-05,2.605e-05,168,4294967295
BPPC_5_0_10.txt_0.1,feasible,2.1726e-05,1.553e-05,971,4294967295
BPPC_5_0_1.txt_0.1,feasible,8.6359e-05,7.5616e-05,825,4294967295
BPPC_3_0_1.txt_0.1,feasible,0.00235766,0.00214231,791,4294967295
BPPC_1_0_10.txt_0.1,feasible,0.000231661,0.00021739,889,4294967295
BPPC_8_0_1.txt_0.1,feasible,0.00356241,0.00333964,980,4294967295
BPPC_3_0_10.txt_0.1,feasible,0.00286545,0.00270429,923,4294967295
BPPC_2_0_10.txt_0.1,feasible,0.000694605,0.000628221,786,4294967295
BPPC_4_0_1.txt_0.1,feasible,0.0080378,0.00741272,898,4294967295
BPPC_8_0_10.txt_0.1,feasible,0.00250474,0.00211764,794,4294967295
BPPC_6_0_1.txt_0.1,feasible,0.000238563,0.000209207,850,4294967295
BPPC_7_0_1.txt_0.1,feasible,0.00154625,0.00144567,943,4294967295
BPPC_7_0_10.txt_0.1,feasible,0.000810996,0.000703369,787,4294967295
BPPC_2_0_1.txt_0.1,feasible,0.000808401,0.000750452,865,4294967295
BPPC_4_0_10.txt_0.1,feasible,0.0120259,0.0115748,1188,4294967295
BPPC_6_0_10.txt_0.1,feasible,0.000262452,0.000234608,951,4294967295
BPPC_1_0_1.txt_0.1,feasible,0.000170882,0.000146257,679,4294967295
BPPC_5_0_10.txt_0.1,feasible,8.6409e-05,7.6807e-05,829,4294967295
BPPC_5_0_1.txt_0.1,feasible,0.00016574,0.000155625,7390,4294967295
BPPC_3_0_1.txt_0.1,feasible,0.00596154,0.00547735,1660,4294967295
BPPC_1_0_10.txt_0.1,feasible,0.000469114,0.000435887,1659,4294967295
BPPC_8_0_1.txt_0.1,feasible,0.00917059,0.00855515,10210,4294967295
BPPC_3_0_10.txt_0.1,feasible,0.00702543,0.00653609,1635,4294967295
BPPC_2_0_10.txt_0.1,feasible,0.00161361,0.0015187,1659,4294967295
BPPC_4_0_1.txt_0.1,feasible,0.0185794,0.0169541,1641,4294967295
BPPC_8_0_10.txt_0.1,feasible,0.00888863,0.00831658,10063,4294967295
BPPC_6_0_1.txt_0.1,feasible,0.000610659,0.000577972,8986,4294967295
BPPC_7_0_1.txt_0.1,feasible,0.00211206,0.00199997,10121,4294967295
BPPC_7_0_10.txt_0.1,feasible,0.00279139,0.00266972,10126,4294967295
BPPC_2_0_1.txt_0.1,feasible,0.00160713,0.00150854,1660,4294967295
BPPC_4_0_10.txt_0.1,feasible,0.0192208,0.0172362,1640,4294967295
BPPC_6_0_10.txt_0.1,feasible,0.000761436,0.000724199,10118,4294967295
BPPC_1_0_1.txt_0.1,feasible,0.000478196,0.000445163,1639,4294967295
BPPC_5_0_10.txt_0.1,feasible,0.000209925,0.000199024,7655,4294967295
BPPC_5_0_1.txt_0.1,feasible,0.000217547,0.000202814,1245,4294967295
BPPC_3_0_1.txt_0.1,feasible,0.0154967,0.0150532,2374,4294967295
BPPC_1_0_10.txt_0.1,feasible,0.000863344,0.000817182,1762,4294967295
BPPC_8_0_1.txt_0.1,feasible,0.0230338,0.0222875,2722,4294967295
BPPC_3_0_10.txt_0.1,feasible,0.0142062,0.0136041,2239,4294967295
BPPC_2_0_10.txt_0.1,feasible,0.00317051,0.00303575,2215,4294967295
BPPC_4_0_1.txt_0.1,feasible,0.056268,0.0546939,2640,4294967295
BPPC_8_0_10.txt_0.1,feasible,0.0196496,0.0188055,2562,4294967295
BPPC_6_0_1.txt_0.1,feasible,0.00109435,0.00104156,1752,4294967295
BPPC_7_0_1.txt_0.1,feasible,0.00411901,0.00397263,2279,4294967295
BPPC_7_0_10.txt_0.1,feasible,0.0049135,0.00475081,2273,4294967295
BPPC_2_0_1.txt_0.1,feasible,0.00384737,0.00372661,2201,4294967295
BPPC_4_0_10.txt_0.1,feasible,0.0613906,0.0598171,2796,4294967295
BPPC_6_0_10.txt_0.1,feasible,0.000936075,0.000883622,1731,4294967295
BPPC_1_0_1.txt_0.1,feasible,0.00076844,0.000720943,1747,4294967295
BPPC_5_0_10.txt_0.1,feasible,0.000174745,0.000161837,1221,4294967295
BPPC_5_0_1.txt_0.1,feasible,2.7375e-05,2.2277e-05,294,4294967295
BPPC_3_0_1.txt_0.1,feasible,0.000647095,0.000560021,399,4294967295
BPPC_1_0_10.txt_0.1,feasible,7.4745e-05,6.506e-05,394,4294967295
BPPC_8_0_1.txt_0.1,feasible,0.00060144,0.000426775,300,4294967295
BPPC_3_0_10.txt_0.1,feasible,0.00079593,0.000759367,494,4294967295
BPPC_2_0_10.txt_0.1,feasible,0.000271486,0.000236247,394,4294967295
BPPC_4_0_1.txt_0.1,feasible,0.00171057,0.00148339,399,4294967295
BPPC_8_0_10.txt_0.1,feasible,0.000542722,0.000402274,299,4294967295
BPPC_6_0_1.txt_0.1,feasible,7.5891e-05,6.0732e-05,300,4294967295
BPPC_7_0_1.txt_0.1,feasible,0.000231234,0.000172779,300,4294967295
BPPC_7_0_10.txt_0.1,feasible,0.000210525,0.000162601,298,4294967295
BPPC_2_0_1.txt_0.1,feasible,0.000167521,0.000137315,298,4294967295
BPPC_4_0_10.txt_0.1,feasible,0.00255954,0.00230318,498,4294967295
BPPC_6_0_10.txt_0.1,feasible,7.245e-05,5.7814e-05,298,4294967295
BPPC_1_0_1.txt_0.1,feasible,4.6615e-05,3.2141e-05,200,4294967295
BPPC_5_0_10.txt_0.1,feasible,2.7035e-05,2.1905e-05,293,4294967295
test_1000_1000_r0.01-6.dat,feasible,0.0407392,0.0399813,3061,4294967295
test_1000_2000_r0.01-0.dat,feasible,0.072084,0.0706801,4165,4294967295
test_500_2000_r0.01-3.dat,feasible,0.0186835,0.0183194,4327,4294967295
test_1000_1000_r0.01-0.dat,feasible,0.0272213,0.026487,2557,4294967295
test_1000_2000_r0.01-6.dat,feasible,0.0879478,0.0865758,4620,4294967295
test_500_2000_r0.01-6.dat,feasible,0.0170652,0.0167438,4077,4294967295
test_500_2000_r0.01-8.dat,feasible,0.0200116,0.0196754,4751,4294967295
test_1000_1000_r0.01-1.dat,feasible,0.0215227,0.0207236,2246,4294967295
test_1000_2000_r0.01-1.dat,feasible,0.0787752,0.0773612,4302,4294967295
test_1000_2000_r0.01-3.dat,feasible,0.0844685,0.083131,4434,4294967295
test_500_1000_r0.01-5.dat,feasible,0.00854186,0.00834152,2830,4294967295
test_1000_2000_r0.01-2.dat,feasible,0.0712476,0.0698477,4126,4294967295
test_500_2000_r0.01-5.dat,feasible,0.0142037,0.0138699,3789,4294967295
test_500_1000_r0.01-7.dat,feasible,0.0067577,0.00656589,2492,4294967295
test_1000_1000_r0.01-3.dat,feasible,0.0327162,0.0319649,2848,4294967295
test_1000_2000_r0.01-8.dat,feasible,0.0836476,0.0823235,4729,4294967295
test_500_1000_r0.01-6.dat,feasible,0.00515369,0.0049413,2034,4294967295
test_1000_1000_r0.01-9.dat,feasible,0.0302859,0.0295718,2823,4294967295
test_500_2000_r0.01-9.dat,feasible,0.015847,0.0155405,4045,4294967295
test_1000_1000_r0.01-7.dat,feasible,0.0282096,0.0275373,2581,4294967295
test_1000_1000_r0.01-2.dat,feasible,0.0221569,0.0214228,2354,4294967295
test_500_2000_r0.01-1.dat,feasible,0.0181193,0.0177882,4351,4294967295
test_1000_2000_r0.01-4.dat,feasible,0.0798475,0.0785074,4297,4294967295
test_1000_1000_r0.01-8.dat,feasible,0.0339687,0.033287,3224,4294967295
test_500_1000_r0.01-3.dat,feasible,0.00698847,0.00676095,2440,4294967295
test_1000_1000_r0.01-5.dat,feasible,0.0463787,0.0456684,3209,4294967295
test_500_1000_r0.01-9.dat,feasible,0.00714401,0.00692227,1926,4294967295
test_500_2000_r0.01-4.dat,feasible,0.0143877,0.0140846,3942,4294967295
test_500_2000_r0.01-7.dat,feasible,0.0180019,0.0177231,4381,4294967295
test_500_2000_r0.01-2.dat,feasible,0.0186368,0.0183045,4472,4294967295
test_1000_2000_r0.01-7.dat,feasible,0.0938593,0.0925852,4739,4294967295
test_500_1000_r0.01-0.dat,feasible,0.00520493,0.00497487,2039,4294967295
test_1000_2000_r0.01-5.dat,feasible,0.0920028,0.0904145,4663,4294967295
test_500_2000_r0.01-0.dat,feasible,0.0160863,0.0156903,3781,4294967295
test_500_1000_r0.01-2.dat,feasible,0.00679982,0.00657609,2198,4294967295
test_500_1000_r0.01-8.dat,feasible,0.00766522,0.00745288,2697,4294967295
test_1000_2000_r0.01-9.dat,feasible,0.109053,0.107773,5075,4294967295
test_500_1000_r0.01-1.dat,feasible,0.00606795,0.00587054,2313,4294967295
test_1000_1000_r0.01-4.dat,feasible,0.0260196,0.0251915,2628,4294967295
test_500_1000_r0.01-4.dat,feasible,0.00757609,0.00736593,2500,4294967295
test_1000_1000_r0.01-6.dat,feasible,0.00654915,0.00567495,1110,4294967295
test_1000_2000_r0.01-0.dat,feasible,0.020888,0.0194618,2210,4294967295
test_500_2000_r0.01-3.dat,feasible,0.00524076,0.00499502,2210,4294967295
test_1000_1000_r0.01-0.dat,feasible,0.00858181,0.00753284,1110,4294967295
test_1000_2000_r0.01-6.dat,feasible,0.0210919,0.0196274,2210,4294967295
test_500_2000_r0.01-6.dat,feasible,0.00539428,0.00512399,2220,4294967295
test_500_2000_r0.01-8.dat,feasible,0.00563908,0.00533372,2210,4294967295
test_1000_1000_r0.01-1.dat,feasible,0.00669029,0.00589698,1110,4294967295
test_1000_2000_r0.01-1.dat,feasible,0.0216832,0.020124,2210,4294967295
test_1000_2000_r0.01-3.dat,feasible,0.0206712,0.0192062,2210,4294967295
test_500_1000_r0.01-5.dat,feasible,0.00206967,0.00190534,1110,4294967295
test_1000_2000_r0.01-2.dat,feasible,0.0227287,0.0211097,2210,4294967295
test_500_2000_r0.01-5.dat,feasible,0.00551334,0.00523296,2210,4294967295
test_500_1000_r0.01-7.dat,feasible,0.00191792,0.00176725,1110,4294967295
test_1000_1000_r0.01-3.dat,feasible,0.00582394,0.00499165,1100,4294967295
test_1000_2000_r0.01-8.dat,feasible,0.0216928,0.02008,2210,4294967295
test_500_1000_r0.01-6.dat,feasible,0.00199051,0.00181822,1110,4294967295
test_1000_1000_r0.01-9.dat,feasible,0.00582972,0.00501607,1100,4294967295
test_500_2000_r0.01-9.dat,feasible,0.00532744,0.00506967,2210,4294967295
test_1000_1000_r0.01-7.dat,feasible,0.00590144,0.00504722,1100,4294967295
test_1000_1000_r0.01-2.dat,feasible,0.00726141,0.00639349,1110,4294967295
test_500_2000_r0.01-1.dat,feasible,0.00546148,0.00520424,2210,4294967295
test_1000_2000_r0.01-4.dat,feasible,0.0206825,0.019158,2210,4294967295
test_1000_1000_r0.01-8.dat,feasible,0.00661982,0.00581157,1110,4294967295
test_500_1000_r0.01-3.dat,feasible,0.00213457,0.00180349,1110,4294967295
test_1000_1000_r0.01-5.dat,feasible,0.00681791,0.00596335,1110,4294967295
test_500_1000_r0.01-9.dat,feasible,0.00194777,0.00179616,1110,4294967295
test_500_2000_r0.01-4.dat,feasible,0.00541778,0.00513829,2210,4294967295
test_500_2000_r0.01-7.dat,feasible,0.00551908,0.00527041,2210,4294967295
test_500_2000_r0.01-2.dat,feasible,0.00525227,0.00498646,2210,4294967295
test_1000_2000_r0.01-7.dat,feasible,0.0218972,0.020247,2210,4294967295
test_500_1000_r0.01-0.dat,feasible,0.00182164,0.00167538,1110,4294967295
test_1000_2000_r0.01-5.dat,feasible,0.0194423,0.0180269,2210,4294967295
test_500_2000_r0.01-0.dat,feasible,0.00503636,0.00479083,2210,4294967295
test_500_1000_r0.01-2.dat,feasible,0.00173156,0.00160124,1110,4294967295
test_500_1000_r0.01-8.dat,feasible,0.00175759,0.00162216,1110,4294967295
test_1000_2000_r0.01-9.dat,feasible,0.0197801,0.0183774,2210,4294967295
test_500_1000_r0.01-1.dat,feasible,0.00191053,0.00174213,1110,4294967295
test_1000_1000_r0.01-4.dat,feasible,0.00621012,0.00536494,1100,4294967295
test_500_1000_r0.01-4.dat,feasible,0.00194983,0.00179521,1110,4294967295
