instance,status,solver_time,lb_time,lb,ub
BPPC_3_0_1.txt_0.9,feasible,9.1693e-05,9.1618e-05,92,657
BPPC_8_0_10.txt_0.9,feasible,0.0001168,0.000116758,786,3119
BPPC_3_0_10.txt_0.9,feasible,0.000113923,0.000113875,109,656
BPPC_6_0_1.txt_0.9,feasible,9.403e-06,9.361e-06,794,3119
BPPC_7_0_1.txt_0.9,feasible,2.8901e-05,2.8794e-05,826,3119
BPPC_5_0_10.txt_0.9,feasible,3.846e-06,3.787e-06,820,3116
BPPC_1_0_1.txt_0.9,feasible,1.0541e-05,1.0357e-05,122,615
BPPC_5_0_1.txt_0.9,feasible,4.54e-06,4.311e-06,530,3116
BPPC_8_0_1.txt_0.9,feasible,0.000109771,0.000109611,780,3120
BPPC_1_0_10.txt_0.9,feasible,9.906e-06,9.764e-06,142,645
BPPC_6_0_10.txt_0.9,feasible,9.241e-06,9.141e-06,520,3119
BPPC_4_0_1.txt_0.9,feasible,0.000366167,0.000366105,104,670
BPPC_2_0_10.txt_0.9,feasible,5.2038e-05,5.1934e-05,126,648
BPPC_2_0_1.txt_0.9,feasible,2.9008e-05,2.8915e-05,128,645
BPPC_7_0_10.txt_0.9,feasible,5.4279e-05,5.417e-05,787,3119
BPPC_4_0_10.txt_0.9,feasible,0.000597838,0.000597796,93,668
BPPC_3_0_1.txt_0.9,feasible,0.000164192,0.000164126,92,223
BPPC_8_0_10.txt_0.9,feasible,0.000106027,0.000105961,786,1040
BPPC_3_0_10.txt_0.9,feasible,9.7364e-05,9.7296e-05,109,222
BPPC_6_0_1.txt_0.9,feasible,1.5727e-05,1.5647e-05,794,1039
BPPC_7_0_1.txt_0.9,feasible,3.5265e-05,3.5174e-05,826,1040
BPPC_5_0_10.txt_0.9,feasible,3.9e-06,3.846e-06,820,1039
BPPC_1_0_1.txt_0.9,feasible,1.2263e-05,1.2222e-05,122,213
BPPC_5_0_1.txt_0.9,feasible,4.32e-06,4.26e-06,530,1039
BPPC_8_0_1.txt_0.9,feasible,0.000112444,0.000112402,780,1040
BPPC_1_0_10.txt_0.9,feasible,9.788e-06,9.73e-06,142,223
BPPC_6_0_10.txt_0.9,feasible,1.009e-05,9.99e-06,520,1040
BPPC_4_0_1.txt_0.9,feasible,0.000368782,0.000368731,104,225
BPPC_2_0_10.txt_0.9,feasible,2.8659e-05,2.8557e-05,126,221
BPPC_2_0_1.txt_0.9,feasible,2.9255e-05,2.9056e-05,128,221
BPPC_7_0_10.txt_0.9,feasible,2.7427e-05,2.7371e-05,787,1040
BPPC_4_0_10.txt_0.9,feasible,0.000386279,0.000386208,93,225
BPPC_3_0_1.txt_0.9,feasible,0.00011603,0.00011599,291,1607
BPPC_8_0_10.txt_0.9,feasible,9.7266e-05,9.7225e-05,282,1105
BPPC_3_0_10.txt_0.9,feasible,0.000121304,0.000121254,260,1542
BPPC_6_0_1.txt_0.9,feasible,9.965e-06,9.862e-06,287,1046
BPPC_7_0_1.txt_0.9,feasible,3.6112e-05,3.5892e-05,278,1096
BPPC_5_0_10.txt_0.9,feasible,4.8e-06,4.597e-06,184,970
BPPC_1_0_1.txt_0.9,feasible,9.893e-06,9.809e-06,262,1141
BPPC_5_0_1.txt_0.9,feasible,3.743e-06,3.722e-06,185,913
BPPC_8_0_1.txt_0.9,feasible,0.000122095,0.000121924,284,1102
BPPC_1_0_10.txt_0.9,feasible,9.82e-06,9.777e-06,196,1221
BPPC_6_0_10.txt_0.9,feasible,9.369e-06,9.314e-06,257,1039
BPPC_4_0_1.txt_0.9,feasible,0.000557151,0.000557064,298,1847
BPPC_2_0_10.txt_0.9,feasible,4.1246e-05,4.1153e-05,250,1501
BPPC_2_0_1.txt_0.9,feasible,3.1897e-05,3.1838e-05,172,1206
BPPC_7_0_10.txt_0.9,feasible,5.6061e-05,5.5967e-05,262,1029
BPPC_4_0_10.txt_0.9,feasible,0.000400648,0.000400602,248,1762
BPPC_3_0_1.txt_0.9,feasible,0.000101953,0.000101892,92,2103
BPPC_8_0_10.txt_0.9,feasible,0.000115701,0.000115652,786,10397
BPPC_3_0_10.txt_0.9,feasible,0.000118379,0.000118332,109,2100
BPPC_6_0_1.txt_0.9,feasible,9.564e-06,9.515e-06,794,10384
BPPC_7_0_1.txt_0.9,feasible,5.2882e-05,5.2781e-05,826,10396
BPPC_5_0_10.txt_0.9,feasible,4.437e-06,4.381e-06,820,10352
BPPC_1_0_1.txt_0.9,feasible,1.0639e-05,1.0533e-05,122,1931
BPPC_5_0_1.txt_0.9,feasible,4.491e-06,4.413e-06,530,10355
BPPC_8_0_1.txt_0.9,feasible,9.8205e-05,9.8155e-05,780,10398
BPPC_1_0_10.txt_0.9,feasible,9.836e-06,9.728e-06,142,1971
BPPC_6_0_10.txt_0.9,feasible,9.6e-06,9.551e-06,520,10383
BPPC_4_0_1.txt_0.9,feasible,0.000376599,0.000376541,104,2172
BPPC_2_0_10.txt_0.9,feasible,3.9618e-05,3.9568e-05,126,2042
BPPC_2_0_1.txt_0.9,feasible,4.3122e-05,4.3071e-05,128,2022
BPPC_7_0_10.txt_0.9,feasible,5.3225e-05,5.3124e-05,787,10391
BPPC_4_0_10.txt_0.9,feasible,0.000336047,0.000335998,93,2180
BPPC_3_0_1.txt_0.9,feasible,0.000117662,0.000117621,291,4277
BPPC_8_0_10.txt_0.9,feasible,0.000124495,0.00012445,282,3373
BPPC_3_0_10.txt_0.9,feasible,0.000121397,0.000121347,260,3965
